label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/ch/rates/EUR/USD,1,1,,6s,100.0,939.4847976262012,1.062,0.988,1.373,2.185,"{""200"": 5638}"
Silta,GET,/ch/rates/EUR/USD,1,10,,6s,100.0,2660.8518916436797,3.756,2.799,8.755,20.276,"{""200"": 15960}"
Silta,GET,/ch/rates/EUR/USD,1,50,,6s,100.0,1556.8090669823634,32.168,17.623,112.66,177.982,"{""200"": 9294}"
Silta,GET,/ch/rates/EUR/USD,1,200,,6s,100.0,1545.4088970006203,126.575,113.815,289.345,396.27,"{""200"": 9080}"
FastAPI,GET,/ch/rates/EUR/USD,1,1,,6s,100.0,224.44502967148296,4.451,4.539,7.259,10.208,"{""200"": 1346}"
FastAPI,GET,/ch/rates/EUR/USD,1,10,,6s,100.0,1768.5818432237677,5.652,5.289,8.195,12.386,"{""200"": 10605}"
FastAPI,GET,/ch/rates/EUR/USD,1,50,,6s,100.0,1562.5156917910463,31.98,30.584,52.008,78.112,"{""200"": 9337}"
FastAPI,GET,/ch/rates/EUR/USD,1,200,,6s,100.0,1481.532219942577,136.634,139.684,195.695,222.713,"{""200"": 8695}"
Silta,GET,/ch/rates,1,1,,6s,100.0,901.0340895619349,1.108,1.044,1.51,1.963,"{""200"": 5407}"
Silta,GET,/ch/rates,1,10,,6s,100.0,1869.205773352277,5.349,4.219,12.192,26.526,"{""200"": 11209}"
Silta,GET,/ch/rates,1,50,,6s,100.0,2077.537415773138,24.089,9.556,90.313,142.695,"{""200"": 12425}"
Silta,GET,/ch/rates,1,200,,6s,100.0,1838.1775513732262,107.986,102.411,237.16,310.783,"{""200"": 10838}"
FastAPI,GET,/ch/rates,1,1,,6s,100.0,263.12376468766604,3.796,3.591,5.687,8.976,"{""200"": 1578}"
FastAPI,GET,/ch/rates,1,10,,6s,100.0,1170.5339799520664,8.54,7.692,13.26,24.383,"{""200"": 7020}"
FastAPI,GET,/ch/rates,1,50,,6s,100.0,995.6557520237378,50.287,47.878,73.003,101.563,"{""200"": 5926}"
FastAPI,GET,/ch/rates,1,200,,6s,100.0,959.4412157336018,211.039,189.287,349.934,454.247,"{""200"": 5561}"
Silta,GET,/ch/rates/1000,1,1,,6s,100.0,303.90012726130055,3.282,3.143,4.381,5.413,"{""200"": 1824}"
Silta,GET,/ch/rates/1000,1,10,,6s,100.0,1556.4455541695438,6.422,6.146,8.81,12.163,"{""200"": 9334}"
Silta,GET,/ch/rates/1000,1,50,,6s,100.0,1574.7661068778748,31.814,26.812,72.191,103.734,"{""200"": 9412}"
Silta,GET,/ch/rates/1000,1,200,,6s,100.0,1378.401447370275,146.312,137.403,297.296,375.331,"{""200"": 8078}"
FastAPI,GET,/ch/rates/1000,1,1,,6s,100.0,155.64882972584365,6.42,6.056,7.645,18.982,"{""200"": 933}"
FastAPI,GET,/ch/rates/1000,1,10,,6s,100.0,356.0389896014998,28.156,25.386,51.619,69.56,"{""200"": 2127}"
FastAPI,GET,/ch/rates/1000,1,50,,6s,100.0,534.4078833009654,94.303,91.808,125.652,146.557,"{""200"": 3158}"
FastAPI,GET,/ch/rates/1000,1,200,,6s,100.0,425.9537670673763,480.682,447.002,815.908,1069.001,"{""200"": 2358}"
