label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/ch/rates/EUR/USD,1,1,,6s,100.0,858.6562115904283,1.161,1.066,1.572,2.799,"{""200"": 5152}"
Silta,GET,/ch/rates/EUR/USD,1,10,,6s,100.0,3227.125223874336,3.097,2.642,5.751,10.813,"{""200"": 19359}"
Silta,GET,/ch/rates/EUR/USD,1,50,,6s,100.0,2791.7490840145842,17.859,4.423,82.333,137.157,"{""200"": 16712}"
Silta,GET,/ch/rates/EUR/USD,1,200,,6s,100.0,2483.162032448261,80.702,73.505,184.933,273.94,"{""200"": 14712}"
FastAPI,GET,/ch/rates/EUR/USD,1,1,,6s,100.0,244.27195658443412,4.087,3.702,6.626,10.769,"{""200"": 1465}"
FastAPI,GET,/ch/rates/EUR/USD,1,10,,6s,100.0,2023.6859864777412,4.94,4.577,7.443,11.78,"{""200"": 12137}"
FastAPI,GET,/ch/rates/EUR/USD,1,50,,6s,100.0,1736.9870944942672,28.856,25.963,50.337,78.298,"{""200"": 10376}"
FastAPI,GET,/ch/rates/EUR/USD,1,200,,6s,100.0,1588.2422657266443,127.09,120.375,199.793,260.058,"{""200"": 9335}"
Silta,GET,/ch/rates,1,1,,6s,100.0,943.6178739187886,1.056,0.964,1.546,2.918,"{""200"": 5662}"
Silta,GET,/ch/rates,1,10,,6s,100.0,2612.3509669869395,3.824,3.52,5.781,8.668,"{""200"": 15672}"
Silta,GET,/ch/rates,1,50,,6s,100.0,2497.4614422458308,19.842,7.024,78.333,127.521,"{""200"": 15006}"
Silta,GET,/ch/rates,1,200,,6s,100.0,2307.669640040478,86.806,75.544,216.287,363.05,"{""200"": 13661}"
FastAPI,GET,/ch/rates,1,1,,6s,100.0,265.0207708771534,3.766,3.614,6.44,9.599,"{""200"": 1590}"
FastAPI,GET,/ch/rates,1,10,,6s,100.0,1822.1355277637365,5.486,5.041,8.578,12.811,"{""200"": 10929}"
FastAPI,GET,/ch/rates,1,50,,6s,100.0,1645.341423948735,30.449,29.029,43.673,65.439,"{""200"": 9830}"
FastAPI,GET,/ch/rates,1,200,,6s,100.0,1495.311481813807,135.419,122.814,219.057,282.659,"{""200"": 8782}"
Silta,GET,/ch/rates/1000,1,1,,6s,100.0,235.41841445366978,4.24,3.798,6.723,12.586,"{""200"": 1412}"
Silta,GET,/ch/rates/1000,1,10,,6s,100.0,1926.829352374031,5.186,4.689,7.634,13.134,"{""200"": 11556}"
Silta,GET,/ch/rates/1000,1,50,,6s,100.0,1640.949738785255,30.331,25.728,66.887,93.031,"{""200"": 9801}"
Silta,GET,/ch/rates/1000,1,200,,6s,100.0,1268.9374051139964,158.523,139.243,334.1,627.943,"{""200"": 7422}"
FastAPI,GET,/ch/rates/1000,1,1,,6s,100.0,172.10897788864062,5.806,5.273,8.673,17.843,"{""200"": 1032}"
FastAPI,GET,/ch/rates/1000,1,10,,6s,100.0,638.3387396758893,15.663,14.031,27.67,46.363,"{""200"": 3821}"
FastAPI,GET,/ch/rates/1000,1,50,,6s,100.0,319.15379155935346,157.56,135.835,286.347,344.243,"{""200"": 1866}"
FastAPI,GET,/ch/rates/1000,1,200,,6s,100.0,441.2711160921839,470.249,305.383,839.831,4185.697,"{""200"": 2450}"
