label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/ch/rates/EUR/USD,1,1,,6s,100.0,117.80005807606179,8.49,8.053,11.689,15.677,"{""200"": 706}"
Silta,GET,/ch/rates/EUR/USD,1,10,,6s,100.0,512.5611111128469,19.541,15.711,42.717,85.037,"{""200"": 3066}"
Silta,GET,/ch/rates/EUR/USD,1,50,,6s,100.0,556.9674559346832,89.743,70.829,234.174,309.349,"{""200"": 3294}"
Silta,GET,/ch/rates/EUR/USD,1,200,,6s,100.0,653.1368399636592,315.298,313.875,551.981,688.27,"{""200"": 3723}"
FastAPI,GET,/ch/rates/EUR/USD,1,1,,6s,100.0,173.79076545771903,5.75,5.477,7.428,9.464,"{""200"": 1042}"
FastAPI,GET,/ch/rates/EUR/USD,1,10,,6s,100.0,601.8624209998143,16.626,15.079,26.911,47.554,"{""200"": 3603}"
FastAPI,GET,/ch/rates/EUR/USD,1,50,,6s,100.0,538.5211108202512,92.73,79.924,224.678,297.708,"{""200"": 3183}"
FastAPI,GET,/ch/rates/EUR/USD,1,200,,6s,100.0,584.7919621743505,350.536,330.641,613.908,749.531,"{""200"": 3312}"
Silta,GET,/ch/rates,1,1,,6s,100.0,90.29890561138431,11.08,10.364,15.953,25.434,"{""200"": 541}"
Silta,GET,/ch/rates,1,10,,6s,100.0,222.76658069625572,44.943,34.543,118.73,160.993,"{""200"": 1327}"
Silta,GET,/ch/rates,1,50,,6s,100.0,188.18751545287003,270.418,241.19,549.126,1238.811,"{""200"": 1080}"
Silta,GET,/ch/rates,1,200,,6s,100.0,177.13103740752868,1106.697,738.535,3352.319,3573.657,"{""200"": 864}"
FastAPI,GET,/ch/rates,1,1,,6s,100.0,72.14065094441983,13.86,12.794,19.639,26.702,"{""200"": 432}"
FastAPI,GET,/ch/rates,1,10,,6s,100.0,212.9755063479217,46.838,41.964,86.105,145.836,"{""200"": 1269}"
FastAPI,GET,/ch/rates,1,50,,6s,100.0,194.86875047270976,261.948,255.073,460.314,562.049,"{""200"": 1122}"
FastAPI,GET,/ch/rates,1,200,,6s,100.0,223.49789003727577,949.383,995.297,1222.375,1316.845,"{""200"": 1142}"
Silta,GET,/ch/rates/1000,1,1,,6s,100.0,77.47593996305838,12.918,11.264,17.511,31.346,"{""200"": 464}"
Silta,GET,/ch/rates/1000,1,10,,6s,100.0,201.24053769907061,49.844,41.679,109.967,156.328,"{""200"": 1198}"
Silta,GET,/ch/rates/1000,1,50,,6s,100.0,220.17992605237532,231.256,226.03,376.996,465.656,"{""200"": 1272}"
Silta,GET,/ch/rates/1000,1,200,,6s,100.0,196.5881633201527,1076.918,804.759,2564.703,4181.355,"{""200"": 981}"
FastAPI,GET,/ch/rates/1000,1,1,,6s,100.0,94.13117856911639,10.636,10.061,13.942,21.619,"{""200"": 564}"
FastAPI,GET,/ch/rates/1000,1,10,,6s,100.0,173.25210215059155,58.011,50.608,98.675,244.756,"{""200"": 1030}"
FastAPI,GET,/ch/rates/1000,1,50,,6s,100.0,198.02002181739633,258.394,241.612,431.588,536.195,"{""200"": 1139}"
FastAPI,GET,/ch/rates/1000,1,200,,6s,100.0,220.28352862469384,935.969,1263.041,1600.914,1683.603,"{""200"": 1123}"
