label,endpoint,concurrency,requests,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,/ping,1,5000,100.0,25162.397104416017,0.039,0.03,0.066,0.085,"{""200"": 5000}"
Silta,/ping,10,5000,100.0,100951.55114985937,0.097,0.091,0.15,0.276,"{""200"": 5000}"
Silta,/ping,25,5000,100.0,119410.82697968224,0.205,0.214,0.307,0.337,"{""200"": 5000}"
Silta,/ping,50,5000,100.0,133413.23184962344,0.354,0.333,0.595,1.106,"{""200"": 5000}"
Silta,/ping,100,5000,100.0,117570.06011639342,0.805,0.794,1.176,2.157,"{""200"": 5000}"
Silta,/ping,200,5000,100.0,100427.40295860736,1.9,1.144,3.011,4.451,"{""200"": 5000}"
Silta,/ping,400,5000,100.0,76136.04457442593,3.87,1.971,6.011,62.492,"{""200"": 5000}"
FastAPI,/ping,1,5000,100.0,19608.602489998386,0.05,0.045,0.081,0.097,"{""200"": 5000}"
FastAPI,/ping,10,5000,100.0,48661.78059567119,0.203,0.2,0.227,0.285,"{""200"": 5000}"
FastAPI,/ping,25,5000,100.0,48162.693888195565,0.515,0.508,0.561,0.646,"{""200"": 5000}"
FastAPI,/ping,50,5000,100.0,47241.843990896494,1.047,1.013,1.15,1.807,"{""200"": 5000}"
FastAPI,/ping,100,5000,100.0,41925.90853443794,2.339,1.997,2.237,24.236,"{""200"": 5000}"
FastAPI,/ping,200,5000,100.0,44852.72061981293,4.309,2.678,3.726,98.623,"{""200"": 5000}"
FastAPI,/ping,400,5000,100.0,37851.33132595106,8.844,3.859,35.755,128.495,"{""200"": 5000}"
Silta,/rates/EUR/USD,1,5000,100.0,2234.9515546850016,0.446,0.418,0.601,0.798,"{""200"": 5000}"
Silta,/rates/EUR/USD,10,5000,100.0,8658.89766815678,1.152,1.031,1.692,3.012,"{""200"": 5000}"
Silta,/rates/EUR/USD,25,5000,100.0,14529.836292334494,1.712,1.513,2.119,5.63,"{""200"": 5000}"
Silta,/rates/EUR/USD,50,5000,100.0,14695.582824052033,3.376,2.875,5.806,12.665,"{""200"": 5000}"
Silta,/rates/EUR/USD,100,5000,100.0,15363.327296508474,6.445,5.729,10.013,23.345,"{""200"": 5000}"
Silta,/rates/EUR/USD,200,5000,100.0,15753.450137121337,12.446,11.105,25.418,28.551,"{""200"": 5000}"
Silta,/rates/EUR/USD,400,5000,100.0,15352.565934833798,24.811,23.3,33.568,52.613,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,1,5000,100.0,1790.586198976295,0.558,0.523,0.712,1.022,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,10,5000,100.0,7579.20266787934,1.316,1.178,1.586,2.015,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,25,5000,100.0,9225.72773675152,2.703,2.029,2.826,7.515,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,50,5000,100.0,8135.606462348472,6.131,3.814,9.071,102.384,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,100,5000,100.0,11957.66629315461,8.312,7.8,14.803,18.339,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,200,5000,100.0,11407.86452476405,17.342,15.4,32.322,57.624,"{""200"": 5000}"
FastAPI,/rates/EUR/USD,400,5000,100.0,10982.715045025629,35.511,33.86,77.139,150.817,"{""200"": 5000}"
Silta,/rates,1,5000,100.0,1568.2735333415428,0.637,0.611,0.752,1.243,"{""200"": 5000}"
Silta,/rates,10,5000,100.0,5742.850105962419,1.738,1.592,2.843,4.991,"{""200"": 5000}"
Silta,/rates,25,5000,100.0,9128.283886664009,2.73,2.517,4.442,5.879,"{""200"": 5000}"
Silta,/rates,50,5000,100.0,9379.05643604668,5.301,4.84,8.361,11.162,"{""200"": 5000}"
Silta,/rates,100,5000,100.0,9651.509715112199,10.263,9.651,14.439,19.75,"{""200"": 5000}"
Silta,/rates,200,5000,100.0,9036.546051368246,21.645,21.291,27.749,32.956,"{""200"": 5000}"
Silta,/rates,400,5000,100.0,8775.780128810444,43.818,41.066,64.964,69.435,"{""200"": 5000}"
FastAPI,/rates,1,5000,100.0,1081.3767353257988,0.923,0.843,1.254,1.83,"{""200"": 5000}"
FastAPI,/rates,10,5000,100.0,3872.921693396281,2.578,2.463,3.269,4.95,"{""200"": 5000}"
FastAPI,/rates,25,5000,100.0,3572.173305774016,6.984,6.582,9.49,14.431,"{""200"": 5000}"
FastAPI,/rates,50,5000,100.0,3659.1167990221293,13.619,13.253,17.473,23.913,"{""200"": 5000}"
FastAPI,/rates,100,5000,100.0,3546.8565622646934,27.985,26.944,35.06,40.259,"{""200"": 5000}"
FastAPI,/rates,200,5000,100.0,3199.8121070330753,61.594,61.004,97.874,123.18,"{""200"": 5000}"
FastAPI,/rates,400,5000,100.0,3250.2999952138684,119.036,121.08,219.045,399.97,"{""200"": 5000}"
