label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/rates/bulk,1,1,,5s,100.0,163.39906950410315,6.114,5.89,7.247,8.678,"{""200"": 817}"
Silta,GET,/rates/bulk,2,1,,5s,100.0,163.37953945745923,6.122,5.923,7.01,7.803,"{""200"": 816}"
Silta,GET,/rates/bulk,1,5,,5s,100.0,307.83546711446314,16.268,15.774,23.981,27.844,"{""200"": 1535}"
Silta,GET,/rates/bulk,2,5,,5s,100.0,298.9383614209572,16.741,16.085,25.12,30.725,"{""200"": 1490}"
Silta,GET,/rates/bulk,1,10,,5s,100.0,325.83682639140187,30.741,30.174,42.069,49.53,"{""200"": 1620}"
Silta,GET,/rates/bulk,2,10,,5s,100.0,321.5720616833773,31.193,30.524,41.923,49.894,"{""200"": 1599}"
Silta,GET,/rates/bulk,1,25,,5s,100.0,336.3861257012791,74.766,71.004,110.078,153.485,"{""200"": 1658}"
Silta,GET,/rates/bulk,2,25,,5s,100.0,331.23881091363916,76.136,71.932,109.27,141.011,"{""200"": 1632}"
Silta,GET,/rates/bulk,1,50,,5s,100.0,349.63235422306184,144.899,127.629,244.019,523.772,"{""200"": 1699}"
Silta,GET,/rates/bulk,2,50,,5s,100.0,332.601664040025,153.106,136.603,260.426,458.813,"{""200"": 1614}"
FastAPI,GET,/rates/bulk,1,1,,5s,100.0,115.96072312900613,8.634,8.231,12.463,15.382,"{""200"": 579}"
FastAPI,GET,/rates/bulk,2,1,,5s,100.0,120.11685511289086,8.324,7.799,13.145,15.97,"{""200"": 600}"
FastAPI,GET,/rates/bulk,1,5,,5s,100.0,136.56266944718018,36.757,35.079,47.814,55.601,"{""200"": 678}"
FastAPI,GET,/rates/bulk,2,5,,5s,100.0,133.1166955719111,37.719,36.194,48.165,58.301,"{""200"": 661}"
FastAPI,GET,/rates/bulk,1,10,,5s,100.0,132.0947513141176,76.352,74.487,97.268,136.674,"{""200"": 651}"
FastAPI,GET,/rates/bulk,2,10,,5s,100.0,136.10539879927921,73.819,73.183,95.969,104.946,"{""200"": 671}"
FastAPI,GET,/rates/bulk,1,25,,5s,100.0,134.55032961559962,189.974,184.563,234.093,424.446,"{""200"": 648}"
FastAPI,GET,/rates/bulk,2,25,,5s,100.0,133.31916413792308,190.695,191.896,236.45,272.551,"{""200"": 642}"
FastAPI,GET,/rates/bulk,1,50,,5s,100.0,129.0382763282778,403.017,385.419,480.725,808.558,"{""200"": 596}"
FastAPI,GET,/rates/bulk,2,50,,5s,100.0,135.88970851532625,384.739,383.714,454.472,494.78,"{""200"": 630}"
