label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,POST,/echo,1,1,,5s,100.0,25830.881017564407,0.038,0.036,0.05,0.083,"{""200"": 129239}"
Silta,POST,/echo,2,1,,5s,100.0,26310.545584972988,0.037,0.036,0.048,0.079,"{""200"": 131716}"
Silta,POST,/echo,1,10,,5s,100.0,108433.55430246887,0.091,0.086,0.131,0.176,"{""200"": 542394}"
Silta,POST,/echo,2,10,,5s,100.0,107572.14955910588,0.092,0.087,0.132,0.176,"{""200"": 538173}"
Silta,POST,/echo,1,50,,5s,100.0,168787.01345829447,0.295,0.251,0.567,1.134,"{""200"": 844454}"
Silta,POST,/echo,2,50,,5s,100.0,154975.8790669961,0.321,0.257,0.615,1.353,"{""200"": 775124}"
Silta,POST,/echo,1,100,,5s,100.0,172666.889205596,0.578,0.467,1.23,2.539,"{""200"": 863734}"
Silta,POST,/echo,2,100,,5s,100.0,171146.90573954262,0.583,0.486,1.159,2.367,"{""200"": 856270}"
FastAPI,POST,/echo,1,1,,5s,100.0,14041.18790441159,0.071,0.066,0.091,0.142,"{""200"": 70223}"
FastAPI,POST,/echo,2,1,,5s,100.0,13771.789886151222,0.072,0.066,0.093,0.158,"{""200"": 68878}"
FastAPI,POST,/echo,1,10,,5s,100.0,26928.651733982668,0.37,0.355,0.452,0.624,"{""200"": 134709}"
FastAPI,POST,/echo,2,10,,5s,100.0,26457.37080049798,0.377,0.361,0.456,0.66,"{""200"": 132332}"
FastAPI,POST,/echo,1,50,,5s,100.0,28408.274136282642,1.758,1.723,2.005,2.428,"{""200"": 142109}"
FastAPI,POST,/echo,2,50,,5s,100.0,27752.999429295927,1.8,1.733,2.124,3.129,"{""200"": 138789}"
FastAPI,POST,/echo,1,100,,5s,100.0,28693.45552881269,3.483,3.383,4.284,5.399,"{""200"": 143449}"
FastAPI,POST,/echo,2,100,,5s,100.0,28758.102740957722,3.476,3.4,4.235,5.363,"{""200"": 143783}"
Silta,POST,/python/echo,1,1,,5s,100.0,17362.885167055898,0.057,0.052,0.082,0.157,"{""200"": 86827}"
Silta,POST,/python/echo,2,1,,5s,100.0,17702.069288897364,0.056,0.051,0.076,0.145,"{""200"": 88528}"
Silta,POST,/python/echo,1,10,,5s,100.0,35208.54934663863,0.283,0.255,0.457,0.655,"{""200"": 176079}"
Silta,POST,/python/echo,2,10,,5s,100.0,42465.59719640755,0.234,0.212,0.385,0.509,"{""500"": 212400}"
Silta,POST,/python/echo,1,50,,5s,100.0,49390.00809199104,1.01,0.923,1.453,1.941,"{""500"": 247116}"
Silta,POST,/python/echo,2,50,,5s,100.0,49275.82572579094,1.013,0.922,1.465,1.91,"{""500"": 246435}"
Silta,POST,/python/echo,1,100,,5s,100.0,52531.99325852078,1.901,1.749,2.612,4.187,"{""500"": 262742}"
Silta,POST,/python/echo,2,100,,5s,100.0,53757.54173019517,1.858,1.76,2.361,3.454,"{""500"": 268866}"
FastAPI,POST,/python/echo,1,1,,5s,100.0,13388.250466112497,0.074,0.067,0.1,0.183,"{""200"": 66960}"
FastAPI,POST,/python/echo,2,1,,5s,100.0,13823.454459359966,0.072,0.067,0.092,0.163,"{""200"": 69137}"
FastAPI,POST,/python/echo,1,10,,5s,100.0,25010.998941222835,0.399,0.37,0.504,0.864,"{""200"": 125102}"
FastAPI,POST,/python/echo,2,10,,5s,100.0,24402.169073920748,0.409,0.377,0.546,0.974,"{""200"": 122049}"
FastAPI,POST,/python/echo,1,50,,5s,100.0,26114.484251432437,1.913,1.82,2.341,3.734,"{""200"": 130563}"
FastAPI,POST,/python/echo,2,50,,5s,100.0,25969.59375226294,1.924,1.849,2.267,3.421,"{""200"": 129856}"
FastAPI,POST,/python/echo,1,100,,5s,100.0,25935.676482913485,3.854,3.587,4.917,10.6,"{""200"": 129706}"
FastAPI,POST,/python/echo,2,100,,5s,100.0,27748.32122521725,3.602,3.495,4.637,6.412,"{""200"": 138783}"
