label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/setting,1,1,,5s,100.0,3797.419139308258,0.262,0.247,0.344,0.532,"{""200"": 19008}"
Silta,GET,/setting,2,1,,5s,100.0,3845.5280896307327,0.259,0.246,0.347,0.455,"{""200"": 19228}"
Silta,GET,/setting,1,10,,5s,100.0,11127.731765588898,0.897,0.855,1.261,1.72,"{""200"": 55668}"
Silta,GET,/setting,2,10,,5s,100.0,10790.238194080363,0.925,0.879,1.282,1.852,"{""200"": 53970}"
Silta,GET,/setting,1,50,,5s,100.0,15029.903868812013,3.325,3.08,5.233,8.227,"{""200"": 75141}"
Silta,GET,/setting,2,50,,5s,100.0,15838.254767863764,3.156,3.032,4.526,6.227,"{""200"": 79166}"
Silta,GET,/setting,1,100,,5s,100.0,15994.967444619353,6.252,5.993,8.459,12.03,"{""200"": 79919}"
Silta,GET,/setting,2,100,,5s,100.0,15728.66399055797,6.356,6.179,8.276,10.604,"{""200"": 78606}"
Silta,GET,/setting,1,200,,5s,100.0,15734.21441571247,12.717,12.447,15.841,19.858,"{""200"": 78530}"
Silta,GET,/setting,2,200,,5s,100.0,15932.969344725589,12.558,12.264,16.386,21.557,"{""200"": 79536}"
FastAPI,GET,/setting,1,1,,5s,100.0,2383.39815192555,0.419,0.37,0.558,1.244,"{""200"": 11919}"
FastAPI,GET,/setting,2,1,,5s,100.0,2610.9817195288156,0.382,0.361,0.485,0.809,"{""200"": 13057}"
FastAPI,GET,/setting,1,10,,5s,100.0,8977.741189144368,1.112,1.043,1.541,1.95,"{""200"": 44894}"
FastAPI,GET,/setting,2,10,,5s,100.0,8312.746921029455,1.201,1.104,1.749,2.587,"{""200"": 41575}"
FastAPI,GET,/setting,1,50,,5s,100.0,12271.140946834405,4.074,3.58,5.32,7.888,"{""200"": 61319}"
FastAPI,GET,/setting,2,50,,5s,100.0,12801.913222822137,3.905,3.699,5.463,8.062,"{""200"": 63990}"
FastAPI,GET,/setting,1,100,,5s,100.0,12520.96758893944,7.988,7.185,10.41,16.096,"{""200"": 62545}"
FastAPI,GET,/setting,2,100,,5s,100.0,12945.965099301286,7.722,7.226,11.185,16.798,"{""200"": 64662}"
FastAPI,GET,/setting,1,200,,5s,100.0,11716.4713826571,17.088,16.102,27.91,39.881,"{""200"": 58445}"
FastAPI,GET,/setting,2,200,,5s,100.0,11482.76663470516,17.428,16.53,28.943,39.685,"{""200"": 57274}"
Silta,PATCH,/setting,1,1,,5s,100.0,2544.929612007052,0.392,0.344,0.638,1.011,"{""200"": 12726}"
Silta,PATCH,/setting,2,1,,5s,100.0,2509.0862276953767,0.398,0.355,0.597,0.996,"{""200"": 12549}"
Silta,PATCH,/setting,1,10,,5s,100.0,3462.6281268504963,2.886,2.038,8.075,12.253,"{""200"": 17308}"
Silta,PATCH,/setting,2,10,,5s,100.0,3369.8175566698087,2.966,2.059,8.353,13.061,"{""200"": 16843}"
Silta,PATCH,/setting,1,50,,5s,100.0,2729.8232365811455,18.292,12.215,57.055,88.321,"{""200"": 13606}"
Silta,PATCH,/setting,2,50,,5s,100.0,2696.023993741448,18.455,12.566,56.002,89.297,"{""200"": 13441}"
Silta,PATCH,/setting,1,100,,5s,100.0,2521.3475147304516,39.694,30.114,103.097,153.15,"{""200"": 12514}"
Silta,PATCH,/setting,2,100,,5s,100.0,2539.6666988112615,39.434,29.353,104.361,164.33,"{""200"": 12607}"
Silta,PATCH,/setting,1,200,,5s,100.0,2514.318604818379,80.052,69.31,150.144,214.043,"{""200"": 12382}"
Silta,PATCH,/setting,2,200,,5s,100.0,2433.4116752319355,82.722,71.398,158.119,221.055,"{""200"": 11981}"
FastAPI,PATCH,/setting,1,1,,5s,100.0,2074.9229007844015,0.481,0.43,0.708,1.255,"{""200"": 10377}"
FastAPI,PATCH,/setting,2,1,,5s,100.0,2063.8609314004652,0.484,0.436,0.654,1.203,"{""200"": 10322}"
FastAPI,PATCH,/setting,1,10,,5s,100.0,3450.2821907542784,2.897,2.266,7.057,10.814,"{""200"": 17250}"
FastAPI,PATCH,/setting,2,10,,5s,100.0,3567.652695919805,2.801,2.149,6.856,10.509,"{""200"": 17832}"
FastAPI,PATCH,/setting,1,50,,5s,100.0,2553.6187140014254,19.57,13.565,57.948,92.448,"{""200"": 12726}"
FastAPI,PATCH,/setting,2,50,,5s,100.0,2455.9394366885863,20.355,13.706,60.942,100.786,"{""200"": 12238}"
FastAPI,PATCH,/setting,1,100,,5s,100.0,2351.070087082371,42.407,31.452,111.781,174.462,"{""200"": 11666}"
FastAPI,PATCH,/setting,2,100,,5s,100.0,2408.6043652134567,41.546,30.752,106.843,172.389,"{""200"": 11952}"
FastAPI,PATCH,/setting,1,200,,5s,100.0,2406.2412209574404,83.564,71.932,161.898,235.123,"{""200"": 11842}"
FastAPI,PATCH,/setting,2,200,,5s,100.0,2453.141311350348,81.946,70.922,157.956,225.209,"{""200"": 12077}"
