label,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,/ping,1,1,,5s,100.0,31847.645441955076,0.031,0.029,0.042,0.065,"{""200"": 159399}"
Silta,/ping,2,1,,5s,100.0,32155.57091261235,0.031,0.029,0.041,0.06,"{""200"": 160824}"
Silta,/ping,1,10,,5s,100.0,124816.8851387676,0.079,0.076,0.114,0.145,"{""200"": 624539}"
Silta,/ping,2,10,,5s,100.0,122308.55833585851,0.081,0.077,0.113,0.143,"{""200"": 611739}"
Silta,/ping,1,50,,5s,100.0,182344.87513011575,0.273,0.248,0.456,0.829,"{""200"": 912234}"
Silta,/ping,2,50,,5s,100.0,178166.6421094964,0.279,0.246,0.494,0.987,"{""200"": 891437}"
Silta,/ping,1,100,,5s,100.0,176048.16548974667,0.567,0.486,1.027,2.194,"{""200"": 880802}"
Silta,/ping,2,100,,5s,100.0,181932.38558827565,0.548,0.483,1.031,1.923,"{""200"": 910422}"
Silta,/ping,1,200,,5s,100.0,180778.82386313943,1.105,0.914,2.317,4.511,"{""200"": 904246}"
Silta,/ping,2,200,,5s,100.0,182338.731433307,1.095,0.912,2.248,4.578,"{""200"": 912078}"
FastAPI,/ping,1,1,,5s,100.0,17840.0651215752,0.056,0.052,0.076,0.124,"{""200"": 89241}"
FastAPI,/ping,2,1,,5s,100.0,18056.062869339024,0.055,0.052,0.071,0.101,"{""200"": 90304}"
FastAPI,/ping,1,10,,5s,100.0,40205.52649081574,0.248,0.232,0.321,0.521,"{""200"": 201143}"
FastAPI,/ping,2,10,,5s,100.0,39867.288983044244,0.25,0.233,0.319,0.52,"{""200"": 199381}"
FastAPI,/ping,1,50,,5s,100.0,37688.59025742319,1.325,1.226,1.665,3.401,"{""200"": 188561}"
FastAPI,/ping,2,50,,5s,100.0,40877.56227151084,1.222,1.188,1.379,2.031,"{""200"": 204467}"
FastAPI,/ping,1,100,,5s,100.0,40201.4425458288,2.487,2.411,2.922,4.314,"{""200"": 201060}"
FastAPI,/ping,2,100,,5s,100.0,40686.18206074905,2.456,2.386,2.979,4.196,"{""200"": 203478}"
FastAPI,/ping,1,200,,5s,100.0,37535.24837415262,5.328,4.96,7.628,16.441,"{""200"": 187623}"
FastAPI,/ping,2,200,,5s,100.0,39344.383541175426,5.083,4.978,7.166,9.925,"{""200"": 196637}"
Silta,/rates/EUR/USD,1,1,,5s,100.0,3555.210940316404,0.28,0.255,0.423,0.626,"{""200"": 17780}"
Silta,/rates/EUR/USD,2,1,,5s,100.0,3554.907221520105,0.28,0.257,0.41,0.624,"{""200"": 17779}"
Silta,/rates/EUR/USD,1,10,,5s,100.0,9820.33138322581,1.017,0.953,1.443,2.337,"{""200"": 49108}"
Silta,/rates/EUR/USD,2,10,,5s,100.0,10035.123281335576,0.995,0.947,1.401,2.061,"{""200"": 50187}"
Silta,/rates/EUR/USD,1,50,,5s,100.0,13287.984449023443,3.76,3.441,5.279,9.322,"{""200"": 66450}"
Silta,/rates/EUR/USD,2,50,,5s,100.0,13589.757386921327,3.679,3.453,5.376,8.648,"{""200"": 67919}"
Silta,/rates/EUR/USD,1,100,,5s,100.0,11831.875845569206,8.451,7.924,12.455,19.335,"{""200"": 59093}"
Silta,/rates/EUR/USD,2,100,,5s,100.0,13654.55232262865,7.322,6.909,10.024,13.921,"{""200"": 68235}"
Silta,/rates/EUR/USD,1,200,,5s,100.0,12955.32938135317,15.453,14.549,20.144,36.024,"{""200"": 64623}"
Silta,/rates/EUR/USD,2,200,,5s,100.0,12811.263807135849,15.621,14.707,20.704,45.925,"{""200"": 63929}"
FastAPI,/rates/EUR/USD,1,1,,5s,100.0,2357.338550133009,0.423,0.394,0.568,0.984,"{""200"": 11789}"
FastAPI,/rates/EUR/USD,2,1,,5s,100.0,1680.6203960409152,0.593,0.458,1.126,2.145,"{""200"": 8405}"
FastAPI,/rates/EUR/USD,1,10,,5s,100.0,7133.886607867106,1.4,1.241,2.034,3.443,"{""200"": 35676}"
FastAPI,/rates/EUR/USD,2,10,,5s,100.0,7822.463109504898,1.277,1.21,1.769,2.715,"{""200"": 39116}"
FastAPI,/rates/EUR/USD,1,50,,5s,100.0,9800.847010600783,5.101,4.444,6.241,15.238,"{""200"": 48986}"
FastAPI,/rates/EUR/USD,2,50,,5s,100.0,10361.629111224658,4.824,4.52,6.404,13.194,"{""200"": 51788}"
FastAPI,/rates/EUR/USD,1,100,,5s,100.0,9988.269404661667,10.015,9.365,15.953,24.101,"{""200"": 49875}"
FastAPI,/rates/EUR/USD,2,100,,5s,100.0,9601.368133852371,10.42,9.374,17.233,29.912,"{""200"": 47933}"
FastAPI,/rates/EUR/USD,1,200,,5s,100.0,8091.16432794894,24.748,20.988,50.451,89.497,"{""200"": 40281}"
FastAPI,/rates/EUR/USD,2,200,,5s,100.0,7385.706261068367,27.127,22.753,53.8,101.137,"{""200"": 36752}"
Silta,/rates,1,1,,5s,100.0,1970.5975372619462,0.506,0.462,0.681,1.247,"{""200"": 9853}"
Silta,/rates,2,1,,5s,100.0,1921.1824309986225,0.519,0.477,0.728,1.146,"{""200"": 9607}"
Silta,/rates,1,10,,5s,100.0,5831.54252982446,1.713,1.589,2.396,4.857,"{""200"": 29156}"
Silta,/rates,2,10,,5s,100.0,5100.961910758328,1.958,1.758,2.904,6.298,"{""200"": 25505}"
Silta,/rates,1,50,,5s,100.0,6767.462301461619,7.389,6.961,10.694,19.354,"{""200"": 33802}"
Silta,/rates,2,50,,5s,100.0,7022.843700882412,7.12,6.725,10.305,18.812,"{""200"": 35080}"
Silta,/rates,1,100,,5s,100.0,6576.504222966633,15.22,14.148,21.181,46.925,"{""200"": 32801}"
Silta,/rates,2,100,,5s,100.0,6306.341884720204,15.879,14.914,21.918,46.526,"{""200"": 31451}"
Silta,/rates,1,200,,5s,100.0,6148.2138361984225,32.589,30.144,56.239,82.512,"{""200"": 30569}"
