label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/rates/EUR/USD,1,10,,6s,100.0,13240.6796519222,0.754,0.706,1.158,1.709,"{""200"": 79478}"
Silta,GET,/rates/EUR/USD,1,50,,6s,100.0,16489.306139961518,3.031,2.921,4.42,5.657,"{""200"": 98931}"
Silta,GET,/rates/EUR/USD,1,200,,6s,100.0,15953.63418107883,12.53,12.104,16.537,21.251,"{""200"": 95641}"
FastAPI,GET,/rates/EUR/USD,1,10,,6s,100.0,6930.35674312963,1.441,1.39,2.012,2.409,"{""200"": 41590}"
FastAPI,GET,/rates/EUR/USD,1,50,,6s,100.0,8646.292644773981,5.782,5.488,7.84,12.995,"{""200"": 51847}"
FastAPI,GET,/rates/EUR/USD,1,200,,6s,100.0,7850.870759773921,25.512,22.785,49.099,80.758,"{""200"": 46942}"
Silta,GET,/rates,1,10,,6s,100.0,5731.66062845815,1.742,1.506,2.767,6.117,"{""200"": 34396}"
Silta,GET,/rates,1,50,,6s,100.0,7661.993905265264,6.524,5.971,10.323,16.351,"{""200"": 45932}"
Silta,GET,/rates,1,200,,6s,100.0,7509.834748941568,26.628,24.73,34.987,81.728,"{""200"": 44895}"
FastAPI,GET,/rates,1,10,,6s,100.0,2887.253143642739,3.462,3.319,4.271,5.685,"{""200"": 17318}"
FastAPI,GET,/rates,1,50,,6s,100.0,2728.387447533122,18.336,17.736,22.401,27.643,"{""200"": 16330}"
FastAPI,GET,/rates,1,200,,6s,100.0,2696.6579578932624,74.588,74.823,122.567,174.18,"{""200"": 15991}"
