label,method,endpoint,run,concurrency,requests,duration,success_rate,rps,average_ms,p50_ms,p95_ms,p99_ms,status_codes
Silta,GET,/rates/EUR/USD,1,10,,6s,100.0,10461.95209049731,0.954,0.904,1.379,1.938,"{""200"": 62783}"
Silta,GET,/rates/EUR/USD,1,50,,6s,100.0,13866.115005280633,3.604,3.392,5.16,7.6,"{""200"": 83182}"
Silta,GET,/rates/EUR/USD,1,200,,6s,100.0,14063.853462865976,14.229,13.697,18.276,22.942,"{""200"": 84227}"
FastAPI,GET,/rates/EUR/USD,1,10,,6s,100.0,7546.90065097395,1.323,1.178,1.964,4.055,"{""200"": 45284}"
FastAPI,GET,/rates/EUR/USD,1,50,,6s,100.0,10163.020932278481,4.918,4.648,7.061,9.413,"{""200"": 60963}"
FastAPI,GET,/rates/EUR/USD,1,200,,6s,100.0,9476.831898134476,21.13,19.989,35.097,49.436,"{""200"": 56700}"
Silta,GET,/rates,1,10,,6s,100.0,6312.03491943405,1.582,1.517,2.159,2.799,"{""200"": 37876}"
Silta,GET,/rates,1,50,,6s,100.0,7491.487211407387,6.673,6.287,9.866,13.799,"{""200"": 44916}"
Silta,GET,/rates,1,200,,6s,100.0,6877.5106870704185,29.134,26.434,45.363,105.452,"{""200"": 41094}"
FastAPI,GET,/rates,1,10,,6s,100.0,2999.6026226199083,3.333,3.208,4.064,4.938,"{""200"": 17996}"
FastAPI,GET,/rates,1,50,,6s,100.0,2751.3234315431673,18.188,17.542,22.027,33.101,"{""200"": 16468}"
FastAPI,GET,/rates,1,200,,6s,100.0,2648.8422352063617,75.916,74.55,122.833,162.149,"{""200"": 15700}"
